id,name_en,name_pt,set,deck,class,type,danger,dual,noise,door,range,dice,accuracy,damage,effect_en,effect_pt,image
aegis_of_the_tower,Aegis of the Tower,Égide da Torre,Dice Tower 2024 Promos,vault,shield,,blue,,,,,,,,"ARMOR 5+. Once per Enemy phase, when any Survivor within Range 1 would be Attacked, you may Move to their Zone, ignoring Enemies, and choose to assign the Attack(s) to you instead. Set 1/2. FULL SET: Damage +1, Armor 4+.","ARMADURA 5+. Uma vez por fase Inimiga, quando qualquer Sobrevivente em Alcance 1 for Atacado, você pode se Mover até sua Zona, ingorando Inimigos, e escolher receber o Ataque em seu lugar. CONJUNTO 1/2. CONJUNTO COMPLETO: Dano +1, Armadura 4+.",https://static.wikia.nocookie.net/zombicide/images/f/fd/AegisOfTheTower_DT.png
animal_armor,Animal Armor,Armadura Animal,Horde Box,search,item,,blue,,,,,,,,Your Familiars gain: Armor 4+.,Seu Familiar ganha: Armadura 4+.,https://static.wikia.nocookie.net/zombicide/images/4/49/AnimalArmor_HB.png
apples,Apples,Maçãs,Black Plague; Green Horde; White Death; Eternal Empire,search,item,,blue,,,,,,,,Black Plague / Green Horde: Discard this card: Gain 1 experience point. White Death / Eternal Empire: Discard this card: Gain 3 experience points.,Black Plague/ Green Horde: Descarte esta carta: Ganhe 1 ponto de experiência. White Death: Descarte esta carta: Ganhe 3 pontos de adrenalina.,https://static.wikia.nocookie.net/zombicide/images/6/63/Apples_BP.png
aprils_harp,April's Harp,Harpa da April,TMNT Timecrash,starter,weapon,combat_spell,blue,no,yes,no,0-3,1,4+,1,Take a Pizza token: Flip this card.,Pegar uma ficha de Pizza: Vire esta carta.,
aprils_ultimate_harp,April's Ultimate Harp,Harpa Ultimate da April,TMNT Timecrash,ultimate,weapon,combat_spell,blue,no,yes,no,0-3,1,4+,1,Ghost Sight. Roll 6: +1 Chi.,Visão Fantasma. Resultado 6: +1 Chi.,
axe,Axe,Machado,Black Plague; Green Horde,search,weapon,melee_weapon,blue,yes,no,yes,0,1,4+,1,Can open doors without rolling dice.,Pode abrir portas sem rolar dados.,https://static.wikia.nocookie.net/zombicide/images/4/4b/Axe_BP.png
axe_of_carnage,Axe Of Carnage,Machado da Carnificina,Wulfsburg,search,weapon,melee_weapon,orange,no,no,yes,0,4,4+,2,Add an additional success on each Melee Action resolved with this weapon.,Adicione um sucesso extra em cada ação Corpo a Corpo realizada com esta arma.,https://static.wikia.nocookie.net/zombicide/images/2/23/AxeOfCarnage_WB.png
baba_yagas_blessing,Baba Yaga's Blessing,Benção de Baba Yaga,White Death,vault,enchantment,,blue,,yes,,,,,,"Once per Turn. Choose 1: +1 die: Combat, +1 to dice roll: Combat, +1 max Range, Damage 2: Combat. The targeted Survivor benefits of the chosen Skill for their next Combat Action. May be used in the Backpack.","Uma vez por turno. Escolha 1: +1 dado Combate, +1 no Resultado: Combate, Alcance Máximo +1, Dano 2: Combate. O Sobrevivente alvo se beneficia da Habilidade selecionada em sua próxima Ação de Combate. Pode ser usado na Mochila.",
baba_yagas_pestle,Baba Yaga's Pestle,Pilão de Baba Yaga,White Death,vault,weapon,melee_weapon,blue,no,no,no,0,1,4+,2,Kill a Zombie with this weapon: Kill all Zombies in the Zone.,Elimine um Zumbi com esta arma: Elimine todos os Zumbis na Zona.,
bang_staff,Bang Staff,Cajado Peteco,NPC-2,vault,weapon,ranged_weapon,blue,no,no,no,0-2,2,3+,1,You may re-roll all Ranged Attacks once with this weapon. The new result takes the place of the previous one.,Você pode rerrolar todos os Ataques de Longo Alcance uma vez com esta arma. O novo resultado é o que vale. ,https://static.wikia.nocookie.net/zombicide/images/1/1a/BangStaff_NPC.png
bastard_sword,Bastard Sword,Espada Bastarda,Wulfsburg,search,weapon,melee_weapon,blue,no,no,yes,0,2,4+,2,,,https://static.wikia.nocookie.net/zombicide/images/6/6c/BastardSword_WB.png
beast’s_head,Beast’s Head,Cabeça da Fera,Iron Maiden Pack 2,vault,item,,,,,,,,,,"Whenever you roll one or more 6s, add 1 Noise token to this card. Spend 1 Action and discard 3 tokens to eliminate all Walkers and Runners in your Zone. If this card is traded, keep the tokens on it.","Sempre que você rolar um ou mais 6, adicione 1 ficha de Barulho a esta carta. Gaste 1 Ação e descarte 3 fichas para eliminar todos os Lerdos e Corredores em sua Zona. Se esta carta for trocada, mantenha as fichas nela.",
black_snake_(chi),Black Snake (Chi),Cobra Negra (Chi),Eternal Empire,vault,weapon,melee_weapon,blue,no,no,no,1-1,3,4+,1/2,POLEARM. Roll 6: +1 Chi.,ARMA DE HASTE. Resultado 6: +1 Chi.,
blizzard_(chi),Blizzard (Chi),Nevasca (Chi),Eternal Empire,vault,weapon,combat_spell,blue,yes,yes,no,0-2,6,5+,1/2,Freeze,Congelar,
bolts_of_jade_(chi),Bolts of Jade (Chi),Raio de Jade (Chi),Eternal Empire,vault,weapon,combat_spell,blue,yes,yes,no,0-3,2/4,4+,2,Roll 6: +1 Chi.,Resultado 6: +1 Chi.,
bone_kukri,Bone Kukri,Kukri de Ossos,Green Horde,vault,weapon,melee_weapon,yellow,yes,no,no,0,1,3+,1,Add +1 Damage to another equipped Melee weapon.,Adicione +1 Dano para outra arma Corpo a Corpo equipada.,https://static.wikia.nocookie.net/zombicide/images/b/b9/BoneKukri_GH.png
bone_sword,Bone Sword,Espada de Ossos,Green Horde,vault,weapon,melee_weapon,yellow,yes,no,no,0,2,3+,1,Gain +2 dice if Bone Kukri is also equipped.,Ganhe +2 dados se Kukri de Ossos também estiver equipada.,https://static.wikia.nocookie.net/zombicide/images/6/6c/BoneSword_GH.png
caseys_hockey_stick,Casey's Hockey Stick,Taco de Hóquei do Casey,TMNT Timecrash,starter,weapon,melee_weapon,blue,no,no,no,0,3,5+,2,Take a Pizza token: Flip this card.,Pegar uma ficha de Pizza: Vire esta carta.,
caseys_ultimate_hockey_stick,Casey's Ultimate Hockey Stick,Taco de Hóquei Ultimate do Casey,TMNT Timecrash,ultimate,weapon,melee_weapon,blue,no,no,no,0,3,4+,2,Roll 6: +1 Chi.,Resultado 6: +1 Chi.,
chain_lightning,Chain Lightning,Cadeia de Raios,Wulfsburg,search,weapon,combat_spell,blue,yes,yes,no,0-1,3,5+,1,Roll 6: +1 die.,Resultado 6: +1 Dado.,https://static.wikia.nocookie.net/zombicide/images/0/05/ChainLightning_WB.png
chainmail_armor,Chainmail Armor,Cota de Malha,Black Plague; Green Horde,search,armor,,blue,,,,,,,,ARMOR 4+.,ARMADURA 4+;,https://static.wikia.nocookie.net/zombicide/images/c/c5/ChainmailArmor_BP.png
chaos_longbow,Chaos Longbow,Arco Longo do Caos,Wulfsburg,search,weapon,ranged_weapon,orange,no,no,no,0-3,4,4+,2,ARROWS. 4 or more hits on a Ranged Action with this weapon: Dragon Fire in the targeted Zone.,FLECHAS: 4 ou mais acertos em uma Ação de Longo Alcance com esta arma: Fogo de Dragão na Zona alvo.,https://static.wikia.nocookie.net/zombicide/images/7/79/ChaosLongbow_WB.png
cheetaras_bo_staff,Cheetara's Bo Staff,Bastão da Cheetara,Thundercats Pack 1,search,weapon,melee_weapon,blue,no,no,no,0-1,3,5+,2,Gain the Jump Skill.,Ganhe a Habilidade Pulo.,https://static.wikia.nocookie.net/zombicide/images/e/e3/CheetarasBoStaff_TC.png
claw_shield,Claw Shield,Escudo Garra,Thundercats Pack 1,search,weapon,melee_weapon,blue,no,no,no,0,2,4+,1,"Once per Turn, pull 1 Zombie at Range 1 into your Zone.","Uma vez por Turno, puxe 1 Zumbi no alcance 1 para sua Zona.",https://static.wikia.nocookie.net/zombicide/images/4/4d/ClawShield_TC.png/
combat_shield,Combat Shield,Escudo de Combate,White Death,search,shield,,blue,,,,,,,,ARMOR 5+. Add +1 die to another equipped Melee weapon.,ARMADURA 5+. Adicione +1 dado para outra arma Corpo a Corpo equipada.,
combat_shield_(chi),Combat Shield (Chi),Escudo de Combate (Chi),Eternal Empire,search,shield,,blue,,,,,,,,ARMOR 5+. Add +1 die to another equipped Melee weapon. Chi: Armor 3+,ARMADURA 5+. Adicione +1 dado para outra arma Corpo a Corpo equipada. Chi: Armadura 3+;,
crocca,Crocca,Crocca,La Compagnia Della Forca,search,familiar,,blue,,,,0,1,4+,1,"Crocca has the following Skills: 3 Zones per Move Action, Bird's-eye view, Low profile, Search, Slippery. If Crocca is in the same Zone as its handler, that Survivor gains: Bird's-eye view","Crocca tem as seguintes Habilidades: 3 Zonas por Ação de Movimento, Visão Aérea, Esguio, Procura, Liso. Se Crocca está na mesma Zona que seu treinador, o Sobrevivente ganha: Visão Arérea.",https://static.wikia.nocookie.net/zombicide/images/d/dc/Crocca.png/
crossbow,Crossbow,Besta,Black Plague; Green Horde; White Death,search,weapon,ranged_weapon,blue,no,no,no,1-3,2,4+,2,BOLTS.,VIROTES.,https://static.wikia.nocookie.net/zombicide/images/6/6e/Crossbow_BP.png/
crossbow_(chi),Crossbow (Chi),Balestra (Chi),Eternal Empire,search,weapon,ranged_weapon,blue,no,no,no,1-2/1-3,2,4+,2,,,
curved_dagger,Curved Dagger,Adaga Curva,Green Horde,search,weapon,melee_weapon,blue,yes,no,yes,0,1,4+,1,Add +1 die to another equipped Melee weapon.,Adicione +1 dado a outra arma Corpo a Corpo equipada.,https://static.wikia.nocookie.net/zombicide/images/d/d4/CurvedDagger_GH.png/
dagger,Dagger,Adaga,Black Plague; White Death,search,weapon,melee_weapon,blue,yes,no,yes,0,1,4+,1,Gain +1 die with another equipped Melee weapon.,Adicione +1 dado a outra arma Corpo a Corpo equipada.,https://static.wikia.nocookie.net/zombicide/images/4/46/Dagger_BP.png/
dagger_(chi),Dagger (Chi),Adaga (Chi),Eternal Empire,search,weapon,melee_weapon,blue,yes,no,no,0,1,4+,1/2,,,
death_gale,Death Gale,Tempestade da Morte,Green Horde,search,weapon,combat_spell,blue,yes,yes,no,0-1,2,5+,2,,,https://static.wikia.nocookie.net/zombicide/images/d/d7/DeathGale_GH.png
death_strike,Death Strike,Rajada Fatal,Black Plague,search,weapon,combat_spell,blue,yes,yes,no,0-1,1,4+,2,,,https://static.wikia.nocookie.net/zombicide/images/e/e6/DeathStrike_BP.png
deflecting_dagger,Deflecting Dagger,Adaga Defletora,Wulfsburg,search,weapon,melee_weapon,yellow,no,no,yes,0,1,4+,1,Gain +1 die with another equipped Melee weapon. Counts as a melee weapon and a shield (Armor roll 4+ or re-roll Armor rolls once).,Adicione +1 dado a outra arma Corpo a Corpo equipada. Conta como arma Corpo a Corpo e Escudo. (ARMADURA 4+ OU rerrole rolagens de armadura uma vez).,https://static.wikia.nocookie.net/zombicide/images/3/30/DeflectingDagger_WB.png
demon_spear_(chi),Demon Spear (Chi),Lança Demoníaca (Chi),Eternal Empire,search,weapon,melee_weapon,blue,no,no,no,1-1,2/4,4+,1,POLEARM.,ARMA DE HASTE.,
